id,lat,lng,unverified,description,season_start,season_stop,no_season,quality_rating,yield_rating,author,address,city,state,country,created_at,updated_at,access,import_link,muni,types
301128,38.5649779922067,-121.728495134366,false,[1x] Roble negro (Quercus ilex),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:01:05 UTC,2016-12-02 09:26:54 UTC,,http://fallingfruit.org/imports/96,true,"{""Holm oak""}"
297194,38.5588065237824,-121.747599115369,false,[1x] Italian stone pine (Pinus pinea),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:32 UTC,2016-12-02 18:49:41 UTC,,http://fallingfruit.org/imports/96,true,"{""Stone pine""}"
285990,38.5661973238211,-121.759892424052,false,[1x] Northern hackberry (Celtis occidentalis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:58 UTC,2016-12-02 16:14:39 UTC,,http://fallingfruit.org/imports/96,true,"{""Common hackberry""}"
298042,38.569317666248,-121.727977704348,false,[1x] Cherry plum (Prunus cerasifera),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:39 UTC,2016-12-07 17:32:58 UTC,,http://fallingfruit.org/imports/96,true,"{""Cherry plum""}"
301239,38.5592065223987,-121.74637865268,false,[1x] Roble negro (Quercus ilex),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:01:06 UTC,2016-12-06 07:16:51 UTC,,http://fallingfruit.org/imports/96,true,"{""Holm oak""}"
283648,38.5538918666404,-121.773741672882,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:39 UTC,2016-12-08 10:42:12 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
293609,38.5719677527954,-121.750890905089,false,[1x] Apple (Malus sylvestris),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:02 UTC,2016-12-08 00:39:58 UTC,,http://fallingfruit.org/imports/96,true,"{""European crabapple""}"
289600,38.567569,-121.756079,false,[1x] Ginkgo (Ginkgo biloba). Owned by Tree Davis.,,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:29 UTC,2016-12-02 07:21:15 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
285193,38.5560653375424,-121.729211719353,false,[1x] Northern hackberry (Celtis occidentalis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:52 UTC,2016-12-01 12:24:20 UTC,,http://fallingfruit.org/imports/96,true,"{""Common hackberry""}"
290798,38.5558159713395,-121.729094093761,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:39 UTC,2016-12-03 06:31:27 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
290429,38.5560167538562,-121.698698824359,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:36 UTC,2016-12-04 05:23:22 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
303556,38.5470572789795,-121.706706124372,false,[1x] California laurel (Umbellularia californica),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:01:25 UTC,2016-12-03 00:30:13 UTC,,http://fallingfruit.org/imports/96,true,"{""California laurel""}"
290724,38.5606395199209,-121.715879227686,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:38 UTC,2016-12-08 11:25:17 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
300282,38.5425023498601,-121.70879447835,false,[1x] Almond (Prunus dulcis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:58 UTC,2016-12-05 07:46:06 UTC,,http://fallingfruit.org/imports/96,true,{Almond}
297155,38.5590628224791,-121.698533051835,false,[1x] Italian stone pine (Pinus pinea),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:32 UTC,2016-12-02 14:47:49 UTC,,http://fallingfruit.org/imports/96,true,"{""Stone pine""}"
293599,38.5709181171797,-121.754498381989,false,[1x] Apple (Malus sylvestris),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:02 UTC,2016-12-03 14:14:54 UTC,,http://fallingfruit.org/imports/96,true,"{""European crabapple""}"
290513,38.5520831239294,-121.687985912075,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:36 UTC,2016-12-03 19:07:10 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
284127,38.5516580282476,-121.772488926914,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:43 UTC,2016-12-01 09:57:49 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
284243,38.537437563185,-121.720055555402,false,[1x] Bottle tree (Brachychiton populneus),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:44 UTC,2016-12-02 09:50:03 UTC,,http://fallingfruit.org/imports/96,true,{Kurrajong}
303534,38.5473301880421,-121.705212601097,false,[1x] California laurel (Umbellularia californica),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:01:25 UTC,2016-12-05 13:02:22 UTC,,http://fallingfruit.org/imports/96,true,"{""California laurel""}"
288489,38.558048,-121.732443,false,[1x] Ginkgo Autumn Gold (Ginkgo biloba). Owned by Tree Davis.,,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:19 UTC,2016-12-06 05:14:12 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
1720129,38.542543,-121.746068,false,"I talked to these people today and they said they haven't been picking their tree, when i told them how to preserve olives they seemed much more interested. People didnt mind me adding this tree and are fine with ppl picking so long as they come in and ask",October,February,false,,,j,,Davis,California,United States,2018-02-28 04:10:43 UTC,2018-02-28 04:10:43 UTC,Private,,false,{Olive}
284180,38.550153867479,-121.772316041296,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:43 UTC,2016-12-05 16:43:10 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
294482,38.554304969712,-121.77313901617,false,[1x] Fruitless mullberry (Morus alba),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:09 UTC,2016-12-02 16:37:15 UTC,,http://fallingfruit.org/imports/96,true,"{""White mulberry""}"
297905,38.5681728142349,-121.727975647724,false,[1x] Cherry plum (Prunus cerasifera),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:38 UTC,2016-12-03 21:35:42 UTC,,http://fallingfruit.org/imports/96,true,"{""Cherry plum""}"
293614,38.5719420670945,-121.75407621497,false,[1x] Apple (Malus sylvestris),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:02 UTC,2016-12-03 19:07:19 UTC,,http://fallingfruit.org/imports/96,true,"{""European crabapple""}"
283724,38.5688715004844,-121.730198264835,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:40 UTC,2016-12-07 05:17:46 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
612,38.53874959901026,-121.73640952911376,false,French Plum Tree. Along Chiles about halfway between Research Park and the bike trail.,July,September,false,,,Fruit Trees in Davis,,Davis,California,United States,2013-02-07 00:20:27 UTC,2013-09-25 20:27:43 UTC,Private but overhanging,http://fallingfruit.org/imports/12,false,"{""European plum""}"
